X = 102, Y = 112, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 163
X = 101, Y = 112, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 112, Z = 162
X = 102, Y = 112, Z = 162
X = 102, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 102, Y = 112, Z = 162
X = 102, Y = 112, Z = 162
X = 102, Y = 112, Z = 163
X = 102, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 112, Z = 164
X = 101, Y = 111, Z = 163
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 112, Z = 163
X = 102, Y = 112, Z = 161
X = 101, Y = 112, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 102, Y = 112, Z = 163
X = 101, Y = 113, Z = 163
X = 119, Y = 0, Z = 222
X = 98, Y = 90, Z = 166
X = 92, Y = 59, Z = 148
X = 72, Y = 111, Z = 150
X = 82, Y = 127, Z = 153
X = 90, Y = 129, Z = 153
X = 95, Y = 132, Z = 152
X = 102, Y = 149, Z = 159
X = 114, Y = 155, Z = 169
X = 118, Y = 153, Z = 170
X = 121, Y = 148, Z = 169
X = 124, Y = 168, Z = 174
X = 125, Y = 162, Z = 176
X = 123, Y = 164, Z = 176
X = 124, Y = 139, Z = 179
X = 123, Y = 163, Z = 169
X = 62, Y = 234, Z = 124
X = 111, Y = 243, Z = 155
X = 124, Y = 157, Z = 171
X = 112, Y = 158, Z = 183
X = 100, Y = 173, Z = 166
X = 92, Y = 166, Z = 157
X = 86, Y = 161, Z = 154
X = 88, Y = 45, Z = 145
X = 75, Y = 56, Z = 146
X = 82, Y = 36, Z = 158
X = 96, Y = 33, Z = 161
X = 113, Y = 119, Z = 178
X = 106, Y = 115, Z = 169
X = 104, Y = 112, Z = 159
X = 95, Y = 179, Z = 170
X = 101, Y = 68, Z = 165
X = 111, Y = 114, Z = 170
X = 100, Y = 116, Z = 166
X = 100, Y = 113, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 111, Z = 162
X = 102, Y = 112, Z = 163
X = 101, Y = 111, Z = 163
X = 101, Y = 112, Z = 162
X = 100, Y = 110, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 112, Z = 163
X = 101, Y = 112, Z = 162
X = 102, Y = 111, Z = 162
X = 102, Y = 111, Z = 161
X = 102, Y = 112, Z = 162
X = 102, Y = 112, Z = 162
X = 102, Y = 111, Z = 161
X = 101, Y = 112, Z = 162
X = 100, Y = 110, Z = 161
X = 101, Y = 110, Z = 161
X = 100, Y = 112, Z = 162
X = 102, Y = 112, Z = 163
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 110, Z = 163
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 102, Y = 112, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 164
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 110, Z = 163
X = 102, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 112, Z = 161
X = 103, Y = 112, Z = 163
X = 102, Y = 110, Z = 163
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
X = 102, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 102, Y = 111, Z = 162
X = 99, Y = 110, Z = 161
X = 100, Y = 112, Z = 161
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 160
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 102, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 100, Y = 112, Z = 162
X = 101, Y = 110, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 100, Y = 112, Z = 161
X = 101, Y = 112, Z = 162
X = 100, Y = 112, Z = 160
X = 101, Y = 111, Z = 161
X = 101, Y = 110, Z = 162
X = 102, Y = 111, Z = 163
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 110, Z = 162
X = 101, Y = 112, Z = 163
X = 101, Y = 111, Z = 162
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 162
X = 100, Y = 112, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 110, Z = 162
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 162
X = 100, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 100, Y = 112, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 102, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 102, Y = 111, Z = 161
X = 101, Y = 112, Z = 162
X = 101, Y = 110, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 111, Z = 161
X = 100, Y = 111, Z = 161
X = 101, Y = 112, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 102, Y = 111, Z = 162
X = 100, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 163
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 112, Z = 161
X = 100, Y = 112, Z = 162
X = 101, Y = 112, Z = 163
X = 100, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 164
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 161
X = 101, Y = 113, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 110, Z = 162
X = 102, Y = 111, Z = 161
X = 101, Y = 111, Z = 163
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 163
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 102, Y = 111, Z = 161
X = 100, Y = 110, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 100, Y = 110, Z = 162
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 112, Z = 161
X = 102, Y = 112, Z = 162
X = 101, Y = 112, Z = 162
X = 102, Y = 111, Z = 163
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 112, Z = 163
X = 100, Y = 112, Z = 164
X = 101, Y = 111, Z = 161
X = 100, Y = 109, Z = 162
X = 100, Y = 112, Z = 162
X = 88, Y = 110, Z = 189
X = 90, Y = 24, Z = 157
X = 76, Y = 147, Z = 141
X = 74, Y = 111, Z = 146
X = 75, Y = 129, Z = 151
X = 84, Y = 145, Z = 150
X = 102, Y = 148, Z = 158
X = 112, Y = 161, Z = 169
X = 117, Y = 154, Z = 171
X = 115, Y = 159, Z = 172
X = 121, Y = 170, Z = 170
X = 122, Y = 164, Z = 172
X = 125, Y = 151, Z = 174
X = 124, Y = 148, Z = 176
X = 124, Y = 140, Z = 178
X = 123, Y = 148, Z = 182
X = 139, Y = 0, Z = 67
X = 145, Y = 86, Z = 179
X = 121, Y = 133, Z = 167
X = 108, Y = 112, Z = 159
X = 107, Y = 155, Z = 164
X = 99, Y = 131, Z = 150
X = 91, Y = 75, Z = 138
X = 79, Y = 106, Z = 147
X = 87, Y = 118, Z = 152
X = 87, Y = 49, Z = 157
X = 92, Y = 27, Z = 157
X = 95, Y = 140, Z = 147
X = 96, Y = 107, Z = 158
X = 99, Y = 116, Z = 157
X = 91, Y = 151, Z = 167
X = 99, Y = 76, Z = 164
X = 117, Y = 175, Z = 195
X = 90, Y = 132, Z = 161
X = 99, Y = 115, Z = 162
X = 100, Y = 115, Z = 161
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 161
X = 102, Y = 112, Z = 162
X = 100, Y = 111, Z = 161
X = 101, Y = 110, Z = 163
X = 100, Y = 112, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 102, Y = 111, Z = 161
X = 100, Y = 111, Z = 161
X = 101, Y = 110, Z = 161
X = 101, Y = 110, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 110, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 100, Y = 111, Z = 161
X = 100, Y = 112, Z = 163
X = 100, Y = 112, Z = 162
X = 101, Y = 112, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 112, Z = 164
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 100, Y = 111, Z = 161
X = 100, Y = 112, Z = 161
X = 101, Y = 112, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 110, Z = 161
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 112, Z = 162
X = 100, Y = 112, Z = 163
X = 99, Y = 110, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 112, Z = 161
X = 102, Y = 111, Z = 162
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 161
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 101, Y = 111, Z = 162
X = 100, Y = 111, Z = 162
X = 101, Y = 112, Z = 161
X = 101, Y = 112, Z = 162
X = 101, Y = 111, Z = 163
